PropertyID,Location,Size_sqft,SalePrice,Price_Per_Sqft,Category
2001,Suburb,2996,355372,118.61548732,Standa
2002,Downtown,2887,505830,175.2095601,Luxury
2003,Suburb,957,338789,354.01149425,Standa
2004,Countryside,1814,419335,231.16593164,Standa
2005,Suburb,850,357301,420.35411765,Standa
2006,Countryside,1485,303756,204.54949495,Standa
2007,Countryside,2171,240975,110.9972363,Standa
2008,Downtown,1547,416148,269.00323206,Standa
2009,Suburb,1079,525559,487.07970343,Luxury
2010,Countryside,1893,467473,246.94823032,Standa
2011,Suburb,2336,208683,89.333476027,Standa
2012,Downtown,2876,450825,156.75417246,Standa
2013,Countryside,2549,349978,137.30011769,Standa
2014,Downtown,2438,335603,137.65504512,Standa
2015,Suburb,2782,227070,81.621135873,Standa
2016,Suburb,1396,464817,332.96346705,Standa
2017,Suburb,1027,489508,476.63875365,Standa
2018,Downtown,1257,371794,295.7788385,Standa
2019,Downtown,1818,503101,276.73322332,Luxury
2020,Downtown,2847,321393,112.88830348,Standa
2021,Countryside,1464,598378,408.72814208,Luxury
2022,Downtown,1636,205943,125.88202934,Standa
2023,Suburb,806,534479,663.12531017,Luxury
2024,Downtown,1158,431974,373.03454231,Standa
2025,Suburb,2727,538077,197.31463146,Luxury
2026,Suburb,2288,426285,186.31337413,Standa
2027,Suburb,2851,335385,117.63767099,Standa
2028,Suburb,1003,238408,237.69491525,Standa
2029,Downtown,2318,441358,190.40465919,Standa
2030,Countryside,2928,533933,182.35416667,Luxury
2031,Countryside,1819,250670,137.80648708,Standa
2032,Downtown,806,278266,345.24317618,Standa
2033,Downtown,2982,300794,100.86988598,Standa
2034,Downtown,1092,453159,414.98076923,Standa
2035,Countryside,1348,463415,343.77967359,Standa
2036,Suburb,1214,343515,282.96128501,Standa
2037,Downtown,1087,473749,435.83164673,Standa
2038,Suburb,2543,248981,97.908375934,Standa
2039,Downtown,951,224640,236.21451104,Standa
2040,Suburb,2775,582544,209.92576577,Luxury
2041,Downtown,2248,402900,179.22597865,Standa
2042,Downtown,1894,303831,160.41763464,Standa
2043,Suburb,2139,332684,155.53249182,Standa
2044,Countryside,1309,534471,408.30481283,Luxury
2045,Suburb,2078,597655,287.61068335,Luxury
2046,Countryside,2172,366166,168.58471455,Standa
2047,Downtown,2969,337055,113.52475581,Standa
2048,Suburb,1323,272357,205.86318972,Standa
2049,Suburb,2561,526098,205.42678641,Luxury
2050,Countryside,1403,261167,186.1489665,Standa
2051,Downtown,1142,382323,334.78371278,Standa
2052,Downtown,1942,277295,142.78836251,Standa
2053,Suburb,1911,512177,268.0151753,Luxury
2054,Suburb,1481,316581,213.76164754,Standa
2055,Downtown,1753,480899,274.32915003,Standa
2056,Suburb,1127,456802,405.3256433,Standa
2057,Downtown,1342,386984,288.36363636,Standa
2058,Suburb,987,387550,392.65450861,Standa
2059,Downtown,1068,285984,267.7752809,Standa
2060,Downtown,2512,339934,135.32404459,Standa
2061,Downtown,1698,346495,204.0606596,Standa
2062,Suburb,1064,554789,521.41823308,Luxury
2063,Countryside,1287,358459,278.52292152,Standa
2064,Downtown,1300,238003,183.07923077,Standa
2065,Suburb,2725,481837,176.82091743,Standa
2066,Downtown,1426,597383,418.92215989,Luxury
2067,Suburb,1039,261186,251.38209817,Standa
2068,Downtown,965,526649,545.75025907,Luxury
2069,Countryside,1021,469341,459.68756121,Standa
2070,Suburb,2883,430403,149.28997572,Standa
2071,Downtown,2771,253552,91.501984843,Standa
2072,Downtown,2989,526166,176.03412513,Luxury
2073,Countryside,1041,485397,466.2795389,Standa
2074,Countryside,2401,441171,183.74468971,Standa
2075,Suburb,2678,306472,114.44062733,Standa
2076,Suburb,1445,403703,279.37923875,Standa
2077,Suburb,1133,538947,475.68137688,Luxury
2078,Downtown,2235,217159,97.162863535,Standa
2079,Downtown,2352,246019,104.59991497,Standa
2080,Suburb,2671,597351,223.64320479,Luxury
2081,Countryside,1821,486149,266.96814937,Standa
2082,Countryside,2330,257959,110.71201717,Standa
2083,Suburb,2984,508251,170.32540214,Luxury
2084,Countryside,907,544991,600.87210584,Luxury
2085,Suburb,1370,217406,158.69051095,Standa
2086,Suburb,1130,531612,470.45309735,Luxury
2087,Downtown,891,219165,245.97643098,Standa
2088,Downtown,2884,493408,171.08460472,Standa
2089,Countryside,1055,532560,504.79620853,Luxury
2090,Suburb,2340,357476,152.76752137,Standa
2091,Countryside,1217,386302,317.42152835,Standa
2092,Suburb,1887,256192,135.76682565,Standa
2093,Suburb,1136,551525,485.49735915,Luxury
2094,Downtown,2438,283697,116.36464315,Standa
2095,Suburb,1482,543512,366.74224022,Luxury
2096,Countryside,2005,271942,135.6319202,Standa
2097,Suburb,2686,551317,205.25577066,Luxury
2098,Countryside,1889,530264,280.71148756,Luxury
2099,Downtown,1453,502089,345.55333792,Luxury
2100,Countryside,2050,562155,274.22195122,Luxury
